TIME,collisions,multicast,rx_bytes,rx_compressed,rx_crc_errors,rx_dropped,rx_errors,rx_fifo_errors,rx_frame_errors,rx_length_errors,rx_missed_errors,rx_nohandler,rx_over_errors,rx_packets,tx_aborted_errors,tx_bytes,tx_carrier_errors,tx_compressed,tx_dropped,tx_errors,tx_fifo_errors,tx_heartbeat_errors,tx_packets,tx_window_errors
06/29/2022_21:21:46,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11116177,0,0,564,0,0,0,72310,0
06/29/2022_21:24:59,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11117357,0,0,564,0,0,0,72320,0
06/29/2022_21:28:13,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11118301,0,0,564,0,0,0,72328,0
06/29/2022_21:31:27,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11119481,0,0,564,0,0,0,72338,0
06/29/2022_21:34:40,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11120307,0,0,564,0,0,0,72345,0
06/29/2022_21:37:54,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11121605,0,0,564,0,0,0,72356,0
06/29/2022_21:41:08,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11122667,0,0,564,0,0,0,72365,0
06/29/2022_21:44:21,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11123493,0,0,564,0,0,0,72372,0
06/29/2022_21:47:35,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11124791,0,0,564,0,0,0,72383,0
06/29/2022_21:50:49,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11125735,0,0,564,0,0,0,72391,0
06/29/2022_21:54:02,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11126915,0,0,564,0,0,0,72401,0
06/29/2022_21:57:16,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11127741,0,0,564,0,0,0,72408,0
06/29/2022_22:00:30,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11129039,0,0,564,0,0,0,72419,0
06/29/2022_22:03:43,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11129983,0,0,564,0,0,0,72427,0
06/29/2022_22:06:57,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11131163,0,0,564,0,0,0,72437,0
06/29/2022_22:10:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11132461,0,0,564,0,0,0,72448,0
06/29/2022_22:13:24,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11133287,0,0,564,0,0,0,72455,0
06/29/2022_22:16:38,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11134467,0,0,564,0,0,0,72465,0
06/29/2022_22:19:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11135411,0,0,564,0,0,0,72473,0
06/29/2022_22:23:05,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11136591,0,0,564,0,0,0,72483,0
06/29/2022_22:26:18,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11137299,0,0,564,0,0,0,72489,0
06/29/2022_22:29:32,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11138597,0,0,564,0,0,0,72500,0
06/29/2022_22:32:46,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11139423,0,0,564,0,0,0,72507,0
06/29/2022_22:35:59,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11140603,0,0,564,0,0,0,72517,0
06/29/2022_22:39:13,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11141547,0,0,564,0,0,0,72525,0
06/29/2022_22:42:27,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11142845,0,0,564,0,0,0,72536,0
06/29/2022_22:45:40,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11144025,0,0,564,0,0,0,72546,0
06/29/2022_22:48:54,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11144851,0,0,564,0,0,0,72553,0
06/29/2022_22:52:08,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11146149,0,0,564,0,0,0,72564,0
06/29/2022_22:55:21,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11146857,0,0,564,0,0,0,72570,0
06/29/2022_22:58:35,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11148155,0,0,564,0,0,0,72581,0
06/29/2022_23:01:49,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11148981,0,0,564,0,0,0,72588,0
06/29/2022_23:05:02,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11150279,0,0,564,0,0,0,72599,0
06/29/2022_23:08:16,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11151105,0,0,564,0,0,0,72606,0
06/29/2022_23:11:30,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11152285,0,0,564,0,0,0,72616,0
06/29/2022_23:14:43,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11152993,0,0,564,0,0,0,72622,0
06/29/2022_23:17:57,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11154173,0,0,564,0,0,0,72632,0
06/29/2022_23:21:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11155471,0,0,564,0,0,0,72643,0
06/29/2022_23:24:24,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11156297,0,0,564,0,0,0,72650,0
06/29/2022_23:27:38,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11157477,0,0,564,0,0,0,72660,0
