Mem: 227612K used, 571952K free, 108K shrd, 0K buff, 22956K cached
CPU:  0.0% usr  8.3% sys  0.0% nic 83.3% idle  0.0% io  0.0% irq  8.3% sirq
Load average: 0.08 0.04 0.01 1/425 493
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
   86     2 root     IW<      0  0.0   0  0.0 [DIAG_USB_diag]
   87     2 root     IW<      0  0.0   0  0.0 [diag_cntl_wq]
   88     2 root     IW<      0  0.0   0  0.0 [diag_dci_wq]
   89     2 root     IW<      0  0.0   0  0.0 [MODEM_CNTL]
   90     2 root     IW<      0  0.0   0  0.0 [MODEM_DATA]
   91     2 root     IW<      0  0.0   0  0.0 [MODEM_CMD]
   92     2 root     IW<      0  0.0   0  0.0 [MODEM_DCI]
   93     2 root     IW<      0  0.0   0  0.0 [MODEM_DCI_CMD]
   94     2 root     IW<      0  0.0   0  0.0 [LPASS_CNTL]
   95     2 root     IW<      0  0.0   0  0.0 [LPASS_DATA]
   96     2 root     IW<      0  0.0   0  0.0 [LPASS_CMD]
   97     2 root     IW<      0  0.0   0  0.0 [LPASS_DCI]
   98     2 root     IW<      0  0.0   0  0.0 [LPASS_DCI_CMD]
   99     2 root     IW<      0  0.0   0  0.0 [WCNSS_CNTL]
  100     2 root     IW<      0  0.0   0  0.0 [WCNSS_DATA]
  101     2 root     IW<      0  0.0   0  0.0 [WCNSS_CMD]
  102     2 root     IW<      0  0.0   0  0.0 [WCNSS_DCI]
  103     2 root     IW<      0  0.0   0  0.0 [WCNSS_DCI_CMD]
  104     2 root     IW<      0  0.0   0  0.0 [SENSORS_CNTL]
  105     2 root     IW<      0  0.0   0  0.0 [SENSORS_DATA]
  106     2 root     IW<      0  0.0   0  0.0 [SENSORS_CMD]
  107     2 root     IW<      0  0.0   0  0.0 [SENSORS_DCI]
  108     2 root     IW<      0  0.0   0  0.0 [SENSORS_DCI_CMD]
  109     2 root     IW<      0  0.0   0  0.0 [DIAG_CTRL]
  110     2 root     IW<      0  0.0   0  0.0 [DIAG_DATA]
  111     2 root     IW<      0  0.0   0  0.0 [DIAG_CMD]
  112     2 root     IW<      0  0.0   0  0.0 [DIAG_DCI_DATA]
  113     2 root     IW<      0  0.0   0  0.0 [DIAG_DCI_CMD]
  114     2 root     IW<      0  0.0   0  0.0 [CDSP_CNTL]
  115     2 root     IW<      0  0.0   0  0.0 [CDSP_DATA]
  116     2 root     IW<      0  0.0   0  0.0 [CDSP_CMD]
  117     2 root     IW<      0  0.0   0  0.0 [CDSP_DCI]
  118     2 root     IW<      0  0.0   0  0.0 [CDSP_DCI_CMD]
  119     2 root     IW<      0  0.0   0  0.0 [NPU_CNTL]
  120     2 root     IW<      0  0.0   0  0.0 [NPU_DATA]
  121     2 root     IW<      0  0.0   0  0.0 [NPU_CMD]
  122     2 root     IW<      0  0.0   0  0.0 [NPU_DCI]
  123     2 root     IW<      0  0.0   0  0.0 [NPU_DCI_CMD]
  124     2 root     IW<      0  0.0   0  0.0 [DIAG_RPMSG_DIAG]
  125     2 root     IW<      0  0.0   0  0.0 [DIAG_RPMSG_DIAG]
  126     2 root     IW<      0  0.0   0  0.0 [DIAG_RPMSG_DIAG]
  127     2 root     IW<      0  0.0   0  0.0 [DIAG_RPMSG_DIAG]
  128     2 root     IW<      0  0.0   0  0.0 [DIAG_RPMSG_DIAG]
  130     2 root     IW<      0  0.0   0  0.0 [diag_mhi_MDM]
  131     2 root     IW<      0  0.0   0  0.0 [DIAG_USB_diag_m]
  132     2 root     IW<      0  0.0   0  0.0 [diag_mhi_MDM_DC]
  133     2 root     IW<      0  0.0   0  0.0 [diag_dci_MDM_DC]
  134     2 root     SW       0  0.0   0  0.0 [qseecom-unreg-l]
  135     2 root     IW<      0  0.0   0  0.0 [atlantic-fwd]
  136     2 root     SW       0  0.0   0  0.0 [irq/43-arm-smmu]
  137     2 root     IW<      0  0.0   0  0.0 [mhi_w]
  143     2 root     IW<      0  0.0   0  0.0 [k_ipa_usb]
  146     2 root     SW       0  0.0   0  0.0 [irq/194-soc-upd]
  147     2 root     SW       0  0.0   0  0.0 [irq/195-soc-rea]
  148     2 root     SW       0  0.0   0  0.0 [irq/196-bsoc-de]
  149     2 root     SW       0  0.0   0  0.0 [irq/197-msoc-de]
  150     2 root     SW       0  0.0   0  0.0 [irq/198-msoc-lo]
  151     2 root     SW       0  0.0   0  0.0 [irq/199-msoc-em]
  152     2 root     SW       0  0.0   0  0.0 [irq/200-msoc-hi]
  153     2 root     SW       0  0.0   0  0.0 [irq/201-msoc-fu]
  154     2 root     SW       0  0.0   0  0.0 [irq/202-vbatt-l]
  155     2 root     SW       0  0.0   0  0.0 [irq/203-vbatt-p]
  156     2 root     SW       0  0.0   0  0.0 [irq/204-esr-del]
  157     2 root     SW       0  0.0   0  0.0 [irq/205-batt-mi]
  158     2 root     SW       0  0.0   0  0.0 [irq/206-batt-id]
  159     2 root     SW       0  0.0   0  0.0 [irq/207-batt-te]
  160     2 root     SW       0  0.0   0  0.0 [irq/208-batt-te]
  161     2 root     SW       0  0.0   0  0.0 [irq/209-batt-te]
  162     2 root     SW       0  0.0   0  0.0 [irq/210-ima-rdy]
  163     2 root     SW       0  0.0   0  0.0 [irq/211-ima-xcp]
  164     2 root     SW       0  0.0   0  0.0 [irq/212-dma-xcp]
