PID   PPID  USER     VSZ  RSS  COMMAND
  184     2 root        0    0 irq/202-msoc-hi
  185     2 root        0    0 irq/203-msoc-fu
  186     2 root        0    0 irq/204-vbatt-l
  187     2 root        0    0 irq/205-vbatt-p
  188     2 root        0    0 irq/206-esr-del
  189     2 root        0    0 irq/207-batt-mi
  190     2 root        0    0 irq/208-batt-id
  191     2 root        0    0 irq/209-batt-te
  192     2 root        0    0 irq/210-batt-te
  193     2 root        0    0 irq/211-batt-te
  194     2 root        0    0 irq/212-ima-rdy
  195     2 root        0    0 irq/213-ima-xcp
  196     2 root        0    0 irq/214-dma-xcp
  197     2 root        0    0 irq/215-dma-gra
  198     2 root        0    0 irq/216-mem-att
  199     2 root        0    0 kworker/0:2
  200     2 root        0    0 irq/151-bcl-lvl
  201     2 root        0    0 irq/152-bcl-lvl
  202     2 root        0    0 irq/153-bcl-lvl
  203     2 root        0    0 kworker/u2:8
  204     2 root        0    0 ipa_ut_dbgfs
  205     2 root        0    0 ipv6_addrconf
  214     2 root        0    0 kworker/0:3
  215     2 root        0    0 kworker/0:4
  216     2 root        0    0 kworker/0:5
  217     2 root        0    0 kworker/0:6
  218     2 root        0    0 kworker/0:7
  219     2 root        0    0 kworker/0:8
  220     2 root        0    0 kworker/0:9
  221     2 root        0    0 irq/218-chgr-er
  222     2 root        0    0 irq/219-chg-sta
  223     2 root        0    0 irq/225-otg-fai
  224     2 root        0    0 irq/228-high-du
  225     2 root        0    0 irq/229-input-c
  226     2 root        0    0 irq/231-switche
  227     2 root        0    0 irq/232-bat-tem
  228     2 root        0    0 irq/233-bat-ov
  229     2 root        0    0 irq/234-bat-low
  230     2 root        0    0 irq/235-bat-the
  231     2 root        0    0 irq/236-bat-ter
  232     2 root        0    0 irq/239-usbin-c
  233     2 root        0    0 irq/240-usbin-v
  234     2 root        0    0 irq/241-usbin-u
  235     2 root        0    0 irq/242-usbin-o
  236     2 root        0    0 irq/243-usbin-p
  237     2 root        0    0 irq/245-usbin-s
  238     2 root        0    0 irq/246-usbin-i
  239     2 root        0    0 irq/248-dcin-uv
  240     2 root        0    0 irq/249-dcin-ov
  241     2 root        0    0 irq/250-dcin-pl
  242     2 root        0    0 irq/252-dcin-po
  243     2 root        0    0 irq/253-dcin-en
  244     2 root        0    0 irq/254-typec-o
  245     2 root        0    0 irq/256-typec-c
  246     2 root        0    0 irq/257-typec-v
  247     2 root        0    0 irq/259-typec-a
  248     2 root        0    0 irq/260-typec-l
  249     2 root        0    0 irq/262-wdog-sn
  250     2 root        0    0 irq/263-wdog-ba
  251     2 root        0    0 irq/265-aicl-do
  252     2 root        0    0 irq/266-smb-en
  253     2 root        0    0 irq/267-temp-ch
  254     2 root        0    0 irq/121-qcom,te
  255     2 root        0    0 irq/131-qcom,te
  256     2 root        0    0 etr_pcie
  263     2 root        0    0 irq/143-sig-tx
  264     2 root        0    0 irq/144-sig-rx
  265     2 root        0    0 kworker/u3:1
  266     2 root        0    0 irq/44-arm-smmu
  267     2 root        0    0 usb_bam_wq
  268     2 root        0    0 irq/60-pwr_even
  269     2 root        0    0 irq/59-dp_hs_ph
  270     2 root        0    0 irq/61-dm_hs_ph
  271     2 root        0    0 irq/62-ss_phy_i
  272     2 root        0    0 kworker/u2:9
  273     2 root        0    0 ubi_bgt0d
  274     2 root        0    0 clnt_req
  275     2 root        0    0 ubifs_bgt0_0
  382     2 root        0    0 ubi_bgt1d
  543     2 root        0    0 kworker/u3:2
  545     2 root        0    0 kworker/u3:3
  546     2 root        0    0 kworker/u3:4
  547     2 root        0    0 kworker/u3:5
  548     2 root        0    0 kworker/u3:6
  549     2 root        0    0 kworker/u3:7
  550     2 root        0    0 kworker/u3:8
  551     2 root        0    0 kworker/u3:9
  552     2 root        0    0 kworker/u3:10
  553     2 root        0    0 kworker/u3:11
  554     2 root        0    0 kworker/u3:12
  555     2 root        0    0 kworker/u3:13
  624     2 root        0    0 at_usb0
  632     2 root        0    0 at_usb1
  636     2 root        0    0 rmnet_ctrl
  641     2 root        0    0 android_mbim
  643     2 root        0    0 dpl_ctrl
  646     2 root        0    0 gps
  648     2 root        0    0 qdss
  652     2 root        0    0 qdss_mdm
  658     2 root        0    0 glink_modem
  660     2 root        0    0 qrtr_rx
  678     2 root        0    0 kworker/u2:10
  685     2 root        0    0 kworker/0:1H
  686     2 root        0    0 kworker/u2:11
  687     2 root        0    0 kworker/0:2H
  688     2 root        0    0 kworker/u2:12
  896     2 root        0    0 ipawq34
  897     2 root        0    0 iparepwq34
  898     2 root        0    0 ipawq35
  899     2 root        0    0 iparepwq35
 1638     2 root        0    0 file-storage
 1815     2 root        0    0 irq/45-arm-smmu
 2063     2 root        0    0 cds_recovery_wo
 2064     2 root        0    0 wlan_logging_th
 2076     2 root        0    0 irq/161-mhi
 2093     2 root        0    0 qrtr_rx
 2117     2 root        0    0 kworker/u2:13
 2139     2 root        0    0 scheduler_threa
PID   PPID  USER     VSZ  RSS  COMMAND
