TIME,FREE_MEM,PID,RSS,OOM_SCORE,OOM_SCORE_ADJ,OOM_ADJ,CMD,CLIENT_COUNT,USB(RNDIS)
06/29/2022_23:40:29,559,7977,620,0,0,0,ps,0,0
06/29/2022_23:40:29,559,7978,568,0,0,0,awk,0,0
06/29/2022_23:43:42,558,8820,408,0,0,0,sleep,0,0
06/29/2022_23:43:42,558,8838,620,0,0,0,ps,0,0
06/29/2022_23:43:42,558,8839,568,0,0,0,awk,0,0
06/29/2022_23:46:56,558,9695,408,0,0,0,sleep,0,0
06/29/2022_23:46:56,558,9714,620,0,0,0,ps,0,0
06/29/2022_23:46:56,558,9715,568,0,0,0,awk,0,0
06/29/2022_23:50:10,559,10549,408,0,0,0,sleep,0,0
06/29/2022_23:50:10,559,10577,620,0,0,0,ps,0,0
06/29/2022_23:50:10,559,10578,568,0,0,0,awk,0,0
06/29/2022_23:53:23,559,11402,408,0,0,0,sleep,0,0
06/29/2022_23:53:23,559,11433,620,0,0,0,ps,0,0
06/29/2022_23:53:23,559,11434,568,0,0,0,awk,0,0
06/29/2022_23:56:37,559,12284,408,0,0,0,sleep,0,0
06/29/2022_23:56:37,559,12296,620,0,0,0,ps,0,0
06/29/2022_23:56:37,559,12297,568,0,0,0,awk,0,0
06/29/2022_23:59:51,559,765,1032,1,0,0,syslogd_monitor,0,0
06/29/2022_23:59:51,559,13138,408,0,0,0,sleep,0,0
06/29/2022_23:59:51,559,13162,620,0,0,0,ps,0,0
06/29/2022_23:59:51,559,13163,568,0,0,0,awk,0,0
06/30/2022_00:03:05,559,14012,408,0,0,0,sleep,0,0
06/30/2022_00:03:05,559,14031,620,0,0,0,ps,0,0
06/30/2022_00:03:05,559,14032,568,0,0,0,awk,0,0
06/30/2022_00:06:18,559,14863,408,0,0,0,sleep,0,0
06/30/2022_00:06:18,559,14888,620,0,0,0,ps,0,0
06/30/2022_00:06:18,559,14889,568,0,0,0,awk,0,0
06/30/2022_00:09:32,559,15717,408,0,0,0,sleep,0,0
06/30/2022_00:09:32,559,15755,620,0,0,0,ps,0,0
06/30/2022_00:09:32,559,15756,568,0,0,0,awk,0,0
06/30/2022_00:12:45,559,838,3228,4,0,0,dsmd,0,0
06/30/2022_00:12:45,559,16598,408,0,0,0,sleep,0,0
06/30/2022_00:12:45,559,16616,620,0,0,0,ps,0,0
06/30/2022_00:12:45,559,16617,568,0,0,0,awk,0,0
06/30/2022_00:15:59,559,17469,408,0,0,0,sleep,0,0
06/30/2022_00:15:59,559,17488,620,0,0,0,ps,0,0
06/30/2022_00:15:59,559,17489,568,0,0,0,awk,0,0
06/30/2022_00:19:13,559,18326,408,0,0,0,sleep,0,0
06/30/2022_00:19:13,559,18351,620,0,0,0,ps,0,0
06/30/2022_00:19:13,559,18352,568,0,0,0,awk,0,0
06/30/2022_00:22:26,559,19180,408,0,0,0,sleep,0,0
06/30/2022_00:22:26,559,19217,620,0,0,0,ps,0,0
06/30/2022_00:22:26,559,19218,568,0,0,0,awk,0,0
06/30/2022_00:25:40,559,20061,408,0,0,0,sleep,0,0
06/30/2022_00:25:40,559,20079,620,0,0,0,ps,0,0
06/30/2022_00:25:40,559,20080,568,0,0,0,awk,0,0
06/30/2022_00:28:53,559,20912,408,0,0,0,sleep,0,0
06/30/2022_00:28:53,559,20938,620,0,0,0,ps,0,0
06/30/2022_00:28:53,559,20939,568,0,0,0,awk,0,0
06/30/2022_00:32:07,559,21785,408,0,0,0,sleep,0,0
06/30/2022_00:32:07,559,21805,620,0,0,0,ps,0,0
06/30/2022_00:32:07,559,21806,568,0,0,0,awk,0,0
06/30/2022_00:35:21,559,22637,408,0,0,0,sleep,0,0
06/30/2022_00:35:21,559,22668,620,0,0,0,ps,0,0
06/30/2022_00:35:21,559,22669,568,0,0,0,awk,0,0
06/30/2022_00:38:34,558,23487,408,0,0,0,sleep,0,0
06/30/2022_00:38:34,558,23528,620,0,0,0,ps,0,0
06/30/2022_00:38:34,558,23529,568,0,0,0,awk,0,0
06/30/2022_00:41:48,558,24368,408,0,0,0,sleep,0,0
06/30/2022_00:41:48,558,24386,620,0,0,0,ps,0,0
06/30/2022_00:41:48,558,24387,568,0,0,0,awk,0,0
06/30/2022_00:45:02,559,25246,408,0,0,0,sleep,0,0
06/30/2022_00:45:02,559,25259,620,0,0,0,ps,0,0
06/30/2022_00:45:02,559,25260,568,0,0,0,awk,0,0
06/30/2022_00:48:15,559,26103,408,0,0,0,sleep,0,0
06/30/2022_00:48:15,559,26118,572,0,0,0,sh,0,0
06/30/2022_00:48:15,559,26119,600,0,0,0,ping6,0,0
06/30/2022_00:48:15,559,26131,620,0,0,0,ps,0,0
06/30/2022_00:48:15,559,26132,568,0,0,0,awk,0,0
06/30/2022_00:51:29,559,26957,408,0,0,0,sleep,0,0
06/30/2022_00:51:29,559,26988,620,0,0,0,ps,0,0
06/30/2022_00:51:29,559,26989,568,0,0,0,awk,0,0
06/30/2022_00:54:42,559,27838,408,0,0,0,sleep,0,0
06/30/2022_00:54:42,559,27850,620,0,0,0,ps,0,0
06/30/2022_00:54:42,559,27851,568,0,0,0,awk,0,0
06/30/2022_00:57:56,559,28697,408,0,0,0,sleep,0,0
06/30/2022_00:57:56,559,28709,620,0,0,0,ps,0,0
06/30/2022_00:57:56,559,28710,568,0,0,0,awk,0,0
06/30/2022_01:01:10,559,29552,408,0,0,0,sleep,0,0
06/30/2022_01:01:10,559,29577,620,0,0,0,ps,0,0
06/30/2022_01:01:10,559,29578,568,0,0,0,awk,0,0
06/30/2022_01:04:23,559,30409,408,0,0,0,sleep,0,0
06/30/2022_01:04:23,559,30440,620,0,0,0,ps,0,0
06/30/2022_01:04:23,559,30441,568,0,0,0,awk,0,0
06/30/2022_01:07:37,559,31287,408,0,0,0,sleep,0,0
06/30/2022_01:07:37,559,31299,620,0,0,0,ps,0,0
06/30/2022_01:07:37,559,31300,568,0,0,0,awk,0,0
06/30/2022_01:10:51,559,32144,408,0,0,0,sleep,0,0
06/30/2022_01:10:51,559,32168,620,0,0,0,ps,0,0
