TIME,rmnet_data0_tx,rndis0_tx,wlan0_tx,wlan1_tx,br0_tx,br0_wlan0_tx,br0_wlan1_tx,rmnet_data0_rx,rndis0_rx,wlan0_rx,wlan1_rx,br0_rx,br0_wlan0_rx,br0_wlan1_rx,nf_count,modem_ipv4_tx,modem_ipv6_tx,ipv4_rx,ipv6_rx,ipv4_lc_tx,ipv6_lc_tx,ipv4_lc_rx,ipv6_lc_rx,ipv4_pkt_tx,ipv6_pkt_tx,ipv4_pkt_rx,ipv6_pkt_rx,ipv4_pkt_tx_err,ipv6_pkt_tx_err,ipv4_pkt_rx_err,ipv6_pkt_rx_err,ipv4_pkt_tx_ofl,ipv6_pkt_tx_ofl,ipv4_pkt_rx_ofl,ipv6_pkt_rx_ofl
06/29/2022_17:35:50,5856813,0,5972553,11042545,11729878,5972553,11042545,75520022,0,294939,4852264,5147203,294939,4852264,14,209423551,209423551,2101768144,2101768144,0,0,0,0,1093903,1093903,2102451,2102451,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:39:04,5856813,0,5973497,11043489,11730822,5973497,11043489,75520022,0,294939,4852264,5147203,294939,4852264,12,209423551,209423551,2101768144,2101768144,0,0,0,0,1093903,1093903,2102451,2102451,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:42:17,5857022,0,5974677,11044669,11732002,5974677,11044669,75520192,0,294939,4852264,5147203,294939,4852264,14,209423760,209423760,2101768314,2101768314,0,0,0,0,1093905,1093905,2102453,2102453,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:45:31,5858242,0,5975503,11045495,11732828,5975503,11045495,75520362,0,294939,4852264,5147203,294939,4852264,12,209424980,209424980,2101768484,2101768484,0,0,0,0,1093907,1093907,2102455,2102455,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:48:45,5858242,0,5976683,11046675,11734008,5976683,11046675,75520362,0,294939,4852264,5147203,294939,4852264,13,209424980,209424980,2101768484,2101768484,0,0,0,0,1093907,1093907,2102455,2102455,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:51:58,5858242,0,5977627,11047619,11734952,5977627,11047619,75520362,0,294939,4852264,5147203,294939,4852264,14,209424980,209424980,2101768484,2101768484,0,0,0,0,1093907,1093907,2102455,2102455,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:55:12,5858242,0,5978689,11048681,11736014,5978689,11048681,75520362,0,294939,4852264,5147203,294939,4852264,13,209424980,209424980,2101768484,2101768484,0,0,0,0,1093907,1093907,2102455,2102455,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:58:25,5858242,0,5979633,11049625,11736958,5979633,11049625,75520362,0,294939,4852264,5147203,294939,4852264,14,209424980,209424980,2101768484,2101768484,0,0,0,0,1093907,1093907,2102455,2102455,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:01:39,5859462,0,5980813,11050805,11738138,5980813,11050805,75520532,0,294939,4852264,5147203,294939,4852264,13,209426200,209426200,2101768654,2101768654,0,0,0,0,1093909,1093909,2102457,2102457,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:04:53,5859462,0,5981993,11051985,11739318,5981993,11051985,75520532,0,294939,4852264,5147203,294939,4852264,14,209426200,209426200,2101768654,2101768654,0,0,0,0,1093909,1093909,2102457,2102457,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:08:06,5859671,0,5982937,11052929,11740262,5982937,11052929,75520702,0,294939,4852264,5147203,294939,4852264,15,209426409,209426409,2101768824,2101768824,0,0,0,0,1093911,1093911,2102459,2102459,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:11:20,5859671,0,5984117,11054109,11741442,5984117,11054109,75520702,0,294939,4852264,5147203,294939,4852264,14,209426409,209426409,2101768824,2101768824,0,0,0,0,1093911,1093911,2102459,2102459,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:14:34,5860891,0,5985061,11055053,11742386,5985061,11055053,75520872,0,294939,4852264,5147203,294939,4852264,12,209427629,209427629,2101768994,2101768994,0,0,0,0,1093913,1093913,2102461,2102461,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:17:47,5860891,0,5986241,11056233,11743566,5986241,11056233,75520872,0,294939,4852264,5147203,294939,4852264,11,209427629,209427629,2101768994,2101768994,0,0,0,0,1093913,1093913,2102461,2102461,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:21:01,5860891,0,5987067,11057059,11744392,5987067,11057059,75520872,0,294939,4852264,5147203,294939,4852264,13,209427629,209427629,2101768994,2101768994,0,0,0,0,1093913,1093913,2102461,2102461,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:24:14,5860891,0,5988247,11058239,11745572,5988247,11058239,75520872,0,294939,4852264,5147203,294939,4852264,13,209427629,209427629,2101768994,2101768994,0,0,0,0,1093913,1093913,2102461,2102461,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:27:28,5860891,0,5989191,11059183,11746516,5989191,11059183,75520872,0,294939,4852264,5147203,294939,4852264,12,209427629,209427629,2101768994,2101768994,0,0,0,0,1093913,1093913,2102461,2102461,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:30:42,5862113,0,5990371,11060363,11747696,5990371,11060363,75520970,0,294939,4852264,5147203,294939,4852264,12,209428851,209428851,2101769092,2101769092,0,0,0,0,1093915,1093915,2102462,2102462,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_18:33:55,5862113,0,5991551,11061543,11748876,5991551,11061543,75520970,0,294939,4852264,5147203,294939,4852264,14,209428851,209428851,2101769092,2101769092,0,0,0,0,1093915,1093915,2102462,2102462,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
