PID   PPID  USER     VSZ  RSS  COMMAND
  226     2 root        0    0 irq/129-qcom,te
  227     2 root        0    0 etr_pcie
  234     2 root        0    0 irq/141-sig-tx
  235     2 root        0    0 irq/142-sig-rx
  236     2 root        0    0 irq/60-pwr_even
  237     2 root        0    0 irq/59-dp_hs_ph
  238     2 root        0    0 irq/61-dm_hs_ph
  239     2 root        0    0 irq/62-ss_phy_i
  240     2 root        0    0 irq/44-arm-smmu
  241     2 root        0    0 usb_bam_wq
  242     2 root        0    0 ubi_bgt0d
  243     2 root        0    0 ubifs_bgt0_0
  313     2 root        0    0 irq/48-arm-smmu
  318     2 root        0    0 irq/49-arm-smmu
  319     2 root        0    0 irq/50-arm-smmu
  345     2 root        0    0 ubi_bgt1d
  348     2 root        0    0 kworker/u3:2
  355     2 root        0    0 ipa_interrupt_w
  357     2 root        0    0 ipawq36
  360     2 root        0    0 iparepwq36
  361     2 root        0    0 ipawq33
  362     2 root        0    0 iparepwq33
  363     2 root        0    0 ipawq32
  365     2 root        0    0 iparepwq32
  366     2 root        0    0 ipa_ut_dbgfs
  368     2 root        0    0 clnt_req
  608     2 root        0    0 at_usb0
  610     2 root        0    0 at_usb1
  614     2 root        0    0 rmnet_ctrl
  619     2 root        0    0 android_mbim
  621     2 root        0    0 dpl_ctrl
  624     2 root        0    0 gps
  626     2 root        0    0 qdss
  628     2 root        0    0 qdss_mdm
  655     2 root        0    0 kworker/u2:10
  690     2 root        0    0 glink_modem
  691     2 root        0    0 qrtr_rx
  693     2 root        0    0 kworker/0:1H
  695     2 root        0    0 kworker/u2:11
  874     2 root        0    0 ipawq34
  875     2 root        0    0 iparepwq34
  876     2 root        0    0 ipawq35
  877     2 root        0    0 iparepwq35
 1594     2 root        0    0 file-storage
 1743     2 root        0    0 irq/45-arm-smmu
 2074     2 root        0    0 cds_recovery_wo
 2075     2 root        0    0 wlan_logging_th
 2088     2 root        0    0 irq/159-mhi
 2112     2 root        0    0 qrtr_rx
 2250     2 root        0    0 scheduler_threa
14190     2 root        0    0 kworker/u2:6
15754     2 root        0    0 kworker/u2:12
17640     2 root        0    0 kworker/u2:7
18095     2 root        0    0 kworker/0:2
18709     2 root        0    0 kworker/0:0
28544     2 root        0    0 kworker/u2:0
29081     2 root        0    0 kworker/u2:9
PID   PPID  USER     VSZ  RSS  COMMAND
