TIME,/tmp,/run,/var/log,/var/lock,/opt/nvtl/tmp
06/30/2022_01:36:41,896,192,2472,0,304
06/30/2022_01:39:55,896,192,1504,0,304
06/30/2022_01:43:08,896,192,1564,0,304
06/30/2022_01:46:22,896,192,1632,0,304
06/30/2022_01:49:36,896,192,1688,0,304
06/30/2022_01:52:49,896,192,1744,0,304
06/30/2022_01:56:03,896,192,1800,0,304
06/30/2022_01:59:17,896,192,1868,0,304
06/30/2022_02:02:30,896,192,1924,0,304
06/30/2022_02:05:44,896,192,1996,0,304
06/30/2022_02:08:57,896,192,2048,0,304
06/30/2022_02:12:11,896,192,2108,0,304
06/30/2022_02:15:25,896,192,2176,0,304
06/30/2022_02:18:38,896,192,2232,0,304
06/30/2022_02:21:52,896,192,2288,0,304
06/30/2022_02:25:06,896,192,2348,0,304
06/30/2022_02:28:19,896,192,2408,0,304
06/30/2022_02:31:33,896,192,2484,0,304
06/30/2022_02:34:46,896,192,1528,0,304
06/30/2022_02:38:00,896,192,1584,0,304
06/30/2022_02:41:14,896,192,1644,0,304
06/30/2022_02:44:27,896,192,1748,0,304
06/30/2022_02:47:41,896,192,1804,0,304
06/30/2022_02:50:55,896,192,1864,0,304
06/30/2022_02:54:08,896,192,1924,0,304
06/30/2022_02:57:22,896,192,1980,0,304
06/30/2022_03:00:36,896,192,2068,0,304
06/30/2022_03:03:49,896,192,2132,0,304
06/30/2022_03:07:03,896,192,2188,0,304
06/30/2022_03:10:16,896,192,2248,0,304
06/30/2022_03:13:30,896,192,2308,0,304
06/30/2022_03:16:44,896,192,2380,0,304
06/30/2022_03:19:57,896,192,2440,0,304
06/30/2022_03:23:11,896,192,2504,0,304
06/30/2022_03:26:25,896,192,1536,0,304
06/30/2022_03:29:38,896,192,1620,0,304
06/30/2022_03:32:52,896,192,1680,0,304
06/30/2022_03:36:05,896,192,1736,0,304
06/30/2022_03:39:19,896,192,1796,0,304
06/30/2022_03:42:33,896,192,1852,0,304
06/30/2022_03:45:46,896,192,1928,0,304
06/30/2022_03:49:00,896,192,1984,0,304
06/30/2022_03:52:14,896,192,2044,0,304
06/30/2022_03:55:27,896,192,2104,0,304
06/30/2022_03:58:41,896,192,2180,0,304
06/30/2022_04:01:55,896,192,2252,0,304
06/30/2022_04:05:09,896,192,2312,0,304
06/30/2022_04:08:22,896,192,2368,0,304
06/30/2022_04:11:36,896,192,2424,0,304
06/30/2022_04:14:49,896,192,2492,0,304
06/30/2022_04:18:03,896,192,1524,0,304
06/30/2022_04:21:17,896,192,1588,0,304
06/30/2022_04:24:30,896,192,1664,0,304
06/30/2022_04:27:44,896,192,1720,0,304
06/30/2022_04:30:57,896,192,1792,0,304
06/30/2022_04:34:11,896,192,1848,0,304
06/30/2022_04:37:25,896,192,1904,0,304
06/30/2022_04:40:38,896,192,1960,0,304
06/30/2022_04:43:52,896,192,2028,0,304
06/30/2022_04:47:05,896,192,2092,0,304
06/30/2022_04:50:19,896,192,2148,0,304
06/30/2022_04:53:33,896,192,2216,0,304
06/30/2022_04:56:46,896,192,2276,0,304
06/30/2022_05:00:00,896,192,2344,0,304
06/30/2022_05:03:14,896,192,2400,0,304
06/30/2022_05:06:27,896,192,2460,0,304
06/30/2022_05:09:41,896,192,2516,0,304
06/30/2022_05:12:54,896,192,1548,0,304
06/30/2022_05:16:08,896,192,1620,0,304
06/30/2022_05:19:22,896,192,1676,0,304
06/30/2022_05:22:35,896,192,1744,0,304
06/30/2022_05:25:49,896,192,1808,0,304
06/30/2022_05:29:03,896,192,1876,0,304
06/30/2022_05:32:16,896,192,1940,0,304
06/30/2022_05:35:30,896,192,1992,0,304
06/30/2022_05:38:43,896,192,2048,0,304
06/30/2022_05:41:57,896,192,2108,0,304
06/30/2022_05:45:11,896,192,2184,0,304
06/30/2022_05:48:24,896,192,2252,0,304
06/30/2022_05:51:38,896,192,2308,0,304
06/30/2022_05:54:52,896,192,2364,0,304
06/30/2022_05:58:05,896,192,2420,0,304
06/30/2022_06:01:19,896,192,2492,0,304
06/30/2022_06:04:33,896,192,2548,0,304
06/30/2022_06:07:46,896,192,1592,0,304
06/30/2022_06:11:00,896,192,1648,0,304
06/30/2022_06:14:13,896,192,1720,0,304
06/30/2022_06:17:27,896,192,1792,0,304
06/30/2022_06:20:41,896,192,1848,0,304
06/30/2022_06:23:54,896,192,1912,0,304
06/30/2022_06:27:08,896,192,1964,0,304
06/30/2022_06:30:22,896,192,2044,0,304
06/30/2022_06:33:35,896,192,2096,0,304
06/30/2022_06:36:49,896,192,2152,0,304
06/30/2022_06:40:03,892,192,2208,0,304
06/30/2022_06:43:16,896,192,2264,0,304
06/30/2022_06:46:30,896,192,2352,0,304
06/30/2022_06:49:44,896,192,2416,0,304
06/30/2022_06:52:57,896,192,2472,0,304
06/30/2022_06:56:11,896,192,2532,0,304
06/30/2022_06:59:24,896,192,1576,0,304
06/30/2022_07:02:38,896,192,1632,0,304
06/30/2022_07:05:52,896,192,1692,0,304
06/30/2022_07:09:05,896,192,1752,0,304
06/30/2022_07:12:19,896,192,1816,0,304
